@odata.etag,ItemInternalId,Product Name,Manufacturer,Intended Use,Storage Location,SDS Reference Number,SDS Link
,b3648da4-ffe4-4042-8195-d06593c247f0,Signet Neutral Floor Cleaner,"Diversey, Inc.",Industrial/Institutional Cleaning product: Dilute prior to use,"Janitorial Closet
Auto Dilution System",MS0800222,SDS Link
,430ff009-3722-4f6c-9907-7b699e7ec9b9,Industrial Gear Lube 680,SUPER Brand,Lubrication for enclosed industrial gear sets (stated on label),Maintenance Flame Cab 2,6910,SDS Link
,328cb2ce-a426-47ea-ae17-97ff295255ec,Isopropyl Alcohol 91% (Equate First Aid Antiseptic Spray),Hydrox Laboratories,"First aid antiseptic; topical disinfectant for cuts, scrapes, and minor burns",Flame Cab,"SDS-004 (Formula No. 004, Rev. 06/16/2023)",SDS Link
,39171392-3e1d-4e7c-ae67-01e0badd30e2,Uline Air Freshener,Uline Inc.,Air Freshener,Supply Closet,S-17147,SDS Link
,c1fb59bd-0e5e-4e94-a609-50ff06a8b439,Sani Professional No Rinse Sanitizing Wipes,Uline Inc.,Cleaner,Supply Closet,S-23602,SDS Link
,6482f9e8-da6a-4864-b2b7-f3233985f51d,Tap Magic Aluminum Cutting Fluid,The Steco Corporation (Tap Magic),Cutting Fluid for Non-Ferrous Metal,Maintenance Flame Cab 2,20004A,SDS Link
,a272cd8c-f5f2-4d0c-8a83-e077acbcfb9f,,,,,,
,f791d5f1-0af2-41a6-8b72-4f8e59b050b5,,,,,,
,03c5f76b-29f7-4618-960d-6782f2837213,,,,,,
,914b7385-8232-444e-ad8d-1d79d8f9f00e,,,,,,
,d2592af5-ba26-4b7e-87e1-129618807a0c,,,,,,
,e25e37c6-d4f6-430b-92c0-8a460f9a04ce,,,,,,
